"last_name, first_name","player_id","year","home_run","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","r_total_stolen_base","exit_velocity_avg","launch_angle_avg","whiff_percent","groundballs_percent","flyballs_percent","linedrives_percent","popups_percent","hp_to_1b","sprint_speed",""
"Stephenson, Tyler","663886","2023","13",".243",".378",".317","0.695","0","89.4","8.9",28.4,48.9,23.3,24.5,3.3,"4.62","26.9",
"Raleigh, Cal","663728","2023","30",".232",".456",".306","0.762","0","89.5","20.3",29.9,31.7,35.1,22.2,11,"4.56","27.0",
"Diaz, Yandy","650490","2023","22",".330",".522",".410","0.932","0","93.4","5.7",18.3,52.2,20.8,23.8,3.2,"4.61","26.6",
"Ramirez, Jose","608070","2023","24",".282",".475",".356","0.831","28","90","18",15.6,34.9,28.5,26.3,10.3,"4.38","27.8",
"Smith, Dominic","642086","2023","12",".254",".366",".326","0.692","1","86.3","12.8",19.9,42.7,25.8,26.3,5.3,"4.56","25.8",
"Abreu, Jose","547989","2023","18",".237",".383",".296","0.679","0","89","10.8",26.4,45,21.9,26,7.2,"4.76","25.5",
"Torres, Gleyber","650402","2023","25",".273",".453",".347","0.800","13","89.7","15.1",21.8,38.9,30.6,24.8,5.6,"4.61","26.4",
"Walker, Christian","572233","2023","33",".258",".497",".333","0.830","11","88","15.8",26.4,38.7,32.6,19.4,9.3,"4.72","26.4",
"Riley, Austin","663586","2023","37",".281",".516",".345","0.861","3","92.3","13.5",27.8,41.1,28.6,23.8,6.5,"4.5","28.1",
"Soler, Jorge","624585","2023","36",".250",".512",".341","0.853","1","91.3","17.8",27.6,36.2,31.6,24,8.2,"4.76","26.6",
"Robert Jr., Luis","673357","2023","38",".264",".542",".315","0.857","20","89.1","16.1",33.5,36.4,30.3,24.7,8.5,"4.37","28.7",
"Ozuna, Marcell","542303","2023","40",".274",".558",".346","0.904","0","91.8","15.6",26.7,39.9,32.4,21.9,5.8,"4.74","26.4",
"Cronenworth, Jake","630105","2023","10",".229",".378",".312","0.690","6","87.4","15.2",15.9,37.6,29.2,26.2,7.1,"4.32","28.3",
"Hays, Austin","669720","2023","16",".275",".444",".325","0.769","5","89.4","10.4",28.3,44.8,29.7,20.3,5.2,"4.42","27.5",
"Contreras, William","661388","2023","17",".289",".457",".367","0.824","6","91.3","4.7",28,55.4,20.4,19.9,4.3,"4.49","26.5",
"Lowe, Nathaniel","663993","2023","17",".262",".414",".360","0.774","1","89.8","7.2",20.6,48.2,20.2,26.7,5,"4.38","27.3",
"Hoerner, Nico","663538","2023","9",".283",".383",".346","0.729","43","86.6","10.5",12.4,47.2,20.3,25.5,7,"4.31","28.5",
"Grisham, Trent","663757","2023","13",".198",".352",".315","0.667","15","90.3","18.3",28.3,38.1,28.1,23.8,10,"4.47","27.7",
"Meneses, Joey","608841","2023","13",".275",".401",".321","0.722","0","89.4","9.4",23.6,48.1,19.2,25.8,6.8,"4.77","25.6",
