"last_name, first_name","player_id","year","strikeout","k_percent","bb_percent","batting_avg","on_base_plus_slg","p_era","z_swing_percent","z_swing_miss_percent","oz_swing_percent","pitch_count_offspeed","pitch_count_fastball","pitch_count_breaking","in_zone_swing","whiff_percent","swing_percent","f_strike_percent","groundballs_percent","flyballs_percent","n_ff_formatted","ff_avg_speed","ff_avg_spin","ff_avg_break_z","ff_avg_break","ff_range_speed","n_sl_formatted","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","sl_avg_break","sl_range_speed","n_ch_formatted","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","ch_avg_break","ch_range_speed","n_cukc_formatted","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z","cu_avg_break","cu_range_speed","n_sift_formatted","si_avg_speed","si_avg_spin","si_avg_break_x","si_avg_break_z","si_avg_break","si_range_speed","n_fc_formatted","fc_avg_speed","fc_avg_spin","fc_avg_break_x","fc_avg_break_z","fc_avg_break","fc_range_speed","n_fs_formatted","fs_avg_speed","fs_avg_spin","fs_avg_break_x","fs_avg_break_z","fs_avg_break","fs_range_speed","n_fastball_formatted","fastball_avg_speed","fastball_avg_spin","fastball_avg_break_x","fastball_avg_break_z","fastball_range_speed",""
"Greinke, Zack","425844","2023","97",16.4,3.9,".282","0.779","5.06",66.4,10.5,27.9,"369","1093","756","722",17.3,46.8,66.4,43.7,25.8,"26.6","89.5","2248","-18.2","16.2","1.2","20","79.2","2464","13.6","-41.2","14.2","1.6","16.6","86.5","1758","-13.2","-32.1","14.2","1.5","14.1","72.5","2410","11.5","-63.1","15.9","2.2","15.7","89.8","2206","-14.8","-24.3","17.8","1.1","7","85.2","2437","6.9","-33.2","9","1.6",,,,,,,,"49.3","89","2262","-5.3","-22.3","2.2",
"Verlander, Justin","434378","2023","144",21.5,6.7,".226","0.652","3.22",68,16.5,30.6,"121","1302","1179","897",22.5,49.6,57.4,36.2,28.2,"50","94.3","2428","-12.2","20.5","1.3","25.3","86.9","2512","4.4","-32.4","6.5","1.5","4.7","85.2","1824","-15.4","-28.9","18","1.4","20","78.2","2716","7","-58.2","15.1","1.6",,,,,,,,,,,,,,,,,,,,,,"50","94.3","2428","-8","-12.2","1.3",
"Hill, Rich","448179","2023","129",19.5,8.8,".281","0.838","5.41",63.7,13.7,25,"56","1339","942","848",19.3,45.4,59.7,39,25.6,"34.4","88.4","2203","-17.6","18.6","1.3","1.9","77.3","2410","-13.1","-42.8","14","1.7","2.2","83","1628","12.1","-33.6","13.9","1.7","35.6","72","2617","-16.8","-66.2","21.2","1.3","4.1","86.1","2142","15.9","-30.8","17.4","1.8","14.8","83.3","2317","-3.4","-32.6","7.7","1.5",,,,,,,,"53.3","86.8","2230","4.4","-22.8","2.9",
"Morton, Charlie","450203","2023","183",25.6,11.6,".244","0.715","3.64",60.7,18.5,28.2,"292","1322","1228","780",32.2,42.9,59.8,44.2,25.2,"31.6","94.9","2308","-19.5","17.3","1.3",,,,,,,,"10.3","86","2131","-17.2","-36.7","17.3","1.5","43.2","82.3","3088","13.6","-48.3","15.9","1.1","7","94.2","2149","-17.8","-25.7","18.7","1.3","7.9","89.1","2480","-0.5","-27.1","7.4","1.4",,,,,,,,"46.5","93.8","2313","-11.8","-21.7","2.7",
"Scherzer, Max","453286","2023","174",28,7.2,".221","0.689","3.77",70.9,20.9,30.3,"347","1398","720","889",28.6,51,69.9,33.7,32.7,"46.3","93.7","2360","-15.5","19.3","1.1","16.8","84","2300","3.4","-37.2","4.3","1.3","14.1","83.8","1365","-14.4","-36.1","14.9","1.2","12.4","75.4","2718","14.8","-58.1","17.7","1.2",,,,,,,,"10.4","88.4","2399","1.5","-27.4","7.9","1.2",,,,,,,,"56.7","92.8","2367","-8.6","-17.7","2.6",
"Lynn, Lance","458681","2023","191",23.6,8.3,".259","0.812","5.73",74.1,22,28.3,"221","2515","426","1116",28.7,50.1,64.2,36.3,30.6,"43.4","92.4","2425","-18.4","14.1","1.3","6.1","83","2463","3.7","-42.6","5.4","1.4","7","84.9","1804","-14.1","-31.7","15.6","1.3","7.4","80.8","2507","14.1","-42.8","14.4","1.5","12.7","91.4","2258","-11.7","-25.7","13.8","1.4","23.2","88.7","2573","2.6","-28.8","7","1.7",,,,,,,,"79.4","91.2","2441","-2.8","-22.6","2.4",
"Kershaw, Clayton","477132","2023","137",26.2,7.6,".209","0.640","2.46",69.3,17.8,30.7,"40","751","1234","685",28,49.6,68.3,47.8,23.3,"36.9","90.7","2325","-15.1","18.3","1.4","43.4","86.5","2475","-5.4","-29.8","9.2","1.6","1.7","84.6","1780","11.5","-23.1","19.1","1.6","17.5","73.4","2293","-3.9","-66.9","16.3","1.3","0.2","90.9","2227","8.7","-16","19.3","1.5",,,,,,,,"0.2","84.4","1449","9.6","-25.8","15.9","1.5","37.1","90.7","2324","0","-15.1","1.4",
"Gibson, Kyle","502043","2023","157",19.5,6.8,".270","0.759","4.73",65.9,15.6,27.8,"517","1705","254","934",25.3,45.6,62.5,49.7,23.4,"13.4","92.1","2260","-15.7","17.6","1.2",,,,,,,,"17","85.5","1679","-14","-33.3","14.7","1.5","8.4","79.5","2446","6.4","-50.8","10","1.3","26.1","91.9","2116","-14.3","-24.2","16.6","1.3","16.6","89.8","2352","1.3","-23.2","10.9","1.4",,,,,,,,"56.1","91.3","2220","-7.6","-21.9","1.7",
"Cobb, Alex","502171","2023","131",20.3,5.7,".272","0.754","3.87",61.3,12.8,30.5,"971","1001","534","719",21.7,44.9,65.9,57.8,16.3,"0.3","95.8","2140","-17.5","14.7","1.4","5.1","86.2","2623","11","-40.1","11.8","1.1",,,,,,,,"16.2","83.6","2668","7.8","-52.3","15.3","1.1","39.7","94.5","2085","-16","-23.7","17.6","0.9",,,,,,,,"38.7","89.5","1565","-13.1","-32.2","13.6","1.2","39.9","94.5","2085","-16","-23.6","0.9",
"Darvish, Yu","506433","2023","141",24.6,7.3,".259","0.741","4.56",64.4,17.3,27.2,"172","985","649","738",25,46.4,60.4,42.7,21.5,"16.6","94.7","2406","-13.3","18.7","1.3","17.6","85.7","2828","5.6","-38.8","6.6","1.8","0.1","82.3","1198","-11.1","-31.5","15","1.6","11.7","76.3","2716","10.8","-61.8","17.6","4.1","18.7","94.3","2272","-14.6","-20.8","18","1.3","9.1","90.9","2598","2.1","-23.7","9.9","1.3","7.7","89.2","1444","-6.9","-29.9","9","1.6","44.4","93.7","2389","-8.2","-18.6","2.1",
